,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
IDENTIFICAÇÃO,TIPO,CÓDIGO,SERVIÇO,UND,QTDE,VALOR S/BDI,VALOR C/BDI,PARCELA,PERCENTUAL_INDIVIUAL,PERCENTUAL_ACUMULADO,CLASSE
62-23-65-161 U H,PRÓPRIA,33,"CAIXA DE PASSAGEM EM CONCRETO PRE-MOLDADO, COM TAMPA, DIMENSåES 50X50X50 CM",UN,"6,00 ","258,79 ","242,62 ","R$ 1.455,72","0,3719477237","97,04232164",C
62-23-65-027 U H,PRÓPRIA,11,"RETIRADA DE LUMINARIAS, TOMADAS E INTERRUPTORES",UN,"150,00 ","10,27 ","9,63 ","R$ 1.444,50","0,3690809269","97,41140256",C
63-26-05-010 O N,PRÓPRIA,25,"TOMADA 10A, 1 MODULO, 2P+T, MONTADA EM CONDULETE DE PVC, TIPO X, PARA ELETRODUTO DE PVC. 3/4, INCLUSO TAMPåEE DE PVC E CONECTOR RETO - FORNECIMENTO E INSTALACAO",UN,"20,00 ","70,72 ","66,30 ","R$ 1.326,00","0,33880326","97,75020582",C
01-15-02-019 C H,SINAPI,93358,"ESCAVACAO MANUAL DE VALA COM PROFUNDIDADE MENOR OU IGUAL A 1,30 M. AF_02/2021 CS: 93358",M3,"15,00 ","91,89 ","86,15 ","R$ 1.292,25","0,3301798739","98,0803857",C
67-23-68-034 O H,PRÓPRIA,5,"BRACO CURVO SIMPLES PARA LUMINARIA PUBLICA, FABRICADO EM TUBO DE ACO, COM SAPATA, GALVANIZADO A FOGO PROJECAO 2000MM, DIAMETRO DO BRACO 60MM",UN,"3,00 ","444,73 ","416,93 ","R$ 1.250,79","0,3195865231","98,39997222",C
01-11-08-075 C H,PRÓPRIA,4,REFLETOR FOTOELETRICO PARA COMANDO DE ILUMINACAO EXTERNA 1000 W - FORNECIMENTO E INSTALACAO. AF_08/2020 CS: 101632,UN,"30,00 ","36,48 ","34,20 ","R$ 1.026,00","0,2621509387","98,66212316",C
01-11-11-002 C H,PRÓPRIA,17,"LUMINARIA ARANDELA TIPO TARTARUGA, DE SOBREPOR, COM 1 LAMPADA LED DE 6 W, SEM REATOR - FORNECIMENTO E INSTALACAO. AF_09/2024 CS: 97607",UN,"10,00 ","108,36 ","101,59 ","R$ 1.015,90","0,2595703106","98,92169347",C
66-23-68-057 U H,PRÓPRIA,46,CONECTOR CUNHA AZUL (35MM2),UN,"30,00 ","29,84 ","27,98 ","R$ 839,40","0,2144731949","99,13616667",C
62-23-65-133 O H,PRÓPRIA,23,"LAMPADA LED BULBO 12W,100-240V,DIMERIZAVEL, TEMPERATURA DE COR 2.700K, FLUXO LUMINOSO 1055 LM, FABRICANTE BRILIA OU EQUIVALENTE TECNICO",UN,"20,00 ","42,03 ","39,41 ","R$ 788,20","0,2013911987","99,33755786",C
01-11-07-010 C H,PRÓPRIA,14,"LUMINARIA TIPO PLAFON CIRCULAR, DE SOBREPOR, COM LED DE 12/13 W - FORNECIMENTO E INSTALACAO. AF_09/2024 CS: 103782",UN,"20,00 ","30,94 ","29,01 ","R$ 580,20","0,1482455893","99,48580345",C
01-11-08-075 C H,PRÓPRIA,35,REFLETOR FOTOELETRONICO PARA COMANDO DE ILUMINACAO EXTERNA 1000 W - FORNECIMENTO E INSTALACAO. AF_08/2020 CS: 101632,UN,"15,00 ","36,48 ","34,20 ","R$ 513,00","0,1310754694","99,61687892",C
62-23-65-027 U H,PRÓPRIA,20,"RETIRADA DE LUMINARIAS, TOMADAS E INTERRUPTORES",UN,"30,00 ","10,27 ","9,63 ","R$ 288,90","0,07381618538","99,69069511",C
62-23-65-027 U H,PRÓPRIA,39,"RETIRADA DE LUMINARIAS, TOMADAS E INTERRUPTORES",UN,"30,00 ","10,27 ","9,63 ","R$ 288,90","0,07381618538","99,76451129",C
01-11-05-011 C H,PRÓPRIA,32,"DISJUNTOR BIPOLAR TIPO DIN, CORRENTE NOMINAL DE 25A - FORNECIMENTO E INSTALACAO. AF_10/2020 CS: 93663",UN,"5,00 ","58,62 ","54,96 ","R$ 274,80","0,07021352628","99,83472482",C
01-11-05-011 C H,PRÓPRIA,7,"DISJUNTOR BIPOLAR TIPO DIN, CORRENTE NOMINAL DE 25A - FORNECIMENTO E INSTALACAO. AF_10/2020 CS: 93663",UN,"4,00 ","58,62 ","54,96 ","R$ 219,84","0,05617082103","99,89089564",C
01-11-05-011 C H,PRÓPRIA,16,"DISJUNTOR BIPOLAR TIPO DIN, CORRENTE NOMINAL DE 25A - FORNECIMENTO E INSTALACAO. AF_10/2020 CS: 93663",UN,"4,00 ","58,62 ","54,96 ","R$ 219,84","0,05617082103","99,94706646",C
01-11-06-008 C H,PRÓPRIA,28,"INTERRUPTOR SIMPLES (1 MODULO), 10A/250V, INCLUINDO SUPORTE E PLACA - FORNECIMENTO E INSTALACAO. AF_03/2023 CS: 91953",UN,"5,00 ","28,20 ","26,44 ","R$ 132,20","0,03377812291","99,98084458",C
62-23-65-064 U H,PRÓPRIA,37,MAO DE OBRA PARA CONEXÇO DE CABOS EM QUADRO ELETRICO DEE DISTRIBUICAO (CIRCUITO),UN,"3,00 ","11,42 ","10,71 ","R$ 32,13","0,008209463608","99,98905405",C
62-23-65-064 U H,PRÓPRIA,9,MAO DE OBRA PARA CONEXÇO DE CABOS EM QUADRO ELETRICO DEE DISTRIBUICAO (CIRCUITO),UN,"2,00 ","11,42 ","10,71 ","R$ 21,42","0,005472975739","99,99452702",C
62-23-65-064 U H,PRÓPRIA,18,MAO DE OBRA PARA CONEXÇO DE CABOS EM QUADRO ELETRICO DEE DISTRIBUICAO (CIRCUITO),UN,"2,00 ","11,42 ","10,71 ","R$ 21,42","0,005472975739",100,C
