,,,,,,,
,,,,,,,
CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,PARCELA DO ITEM,PERCENTUAL_INDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
62-23-65-171 U H,CURVA DE INVERSÃO P/ ELETROCALHA METÁLICA GALVANIZADA C/ DIMENSÕES 300 X 100 MM,"  6,00 "," R$  106,10 "," R$  636,60 ","0,0129606776","99,38280571",C
64-23-74-085 O H,ORGANIZADOR HORIZONTAL DE CABOS PARA RACK 19,"  12,00 "," R$  48,47 "," R$  581,64 ","0,01184173503","99,39464745",C
66-23-91-279 U ,"CHUVEIRO ELÉTRICO, LORENZETTI DUO SHOWERQUADRA OU SIMILAR, INCLUINDO INSTALAÇÃO","  1,00 "," R$  574,36 "," R$  574,36 ","0,01169351993","99,40634097",C
63-09-01-028 O H,REDUÇÃO CONCÊNTRICA PARA ELETROCALHA 500X100MM - 400X100MM - FORNECIMENTO E INSTALAÇÃO,"  9,00 "," R$  63,23 "," R$  569,07 ","0,01158581967","99,41792679",C
64-23-74-092 O H,CONECTORIZAÇÃO (CRIMPAGEM)DE CABO UTP CAT 6 EM PATCH PAINEL,"  100,00 "," R$  5,48 "," R$  548,00 ","0,01115685097","99,42908364",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  3,00 "," R$  181,70 "," R$  545,10 ","0,01109780924","99,44018145",C
63-21-03-012 O H,ADAPTADOR CONDULETE TOP 1 P/ CONDULETE CINZA - FORNECIMENTO E INSTALAÇÃO,"  120,00 "," R$  4,45 "," R$  534,00 ","0,01087182193","99,45105327",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  100,00 "," R$  5,26 "," R$  526,00 ","0,01070894819","99,46176222",C
01-13-02-338 C ,"TE, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 X 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS:89796","  10,00 "," R$  50,75 "," R$  507,50 ","0,01033230268","99,47209452",C
01-13-02-338 C ,"TE, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 X 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS:89796","  10,00 "," R$  50,75 "," R$  507,50 ","0,01033230268","99,48242682",C
67-23-68-042 O H,PARES TRANSCEIVER GBIC LC 3KM MÓDULO SFP BIDIRECIONAL WDM 1550/1310 SMF,"  3,00 "," R$  166,48 "," R$  499,44 ","0,01016820739","99,49259503",C
64-23-74-159 O H,"SAÍDA HORIZONTAL PARA ELETRODUTO 1, INCLUINDO PARAFUSO, BUCHA E ARRUELA - FORNECIMENTO E INSTALAÇÃO","  50,00 "," R$  9,92 "," R$  496,00 ","0,01009817168","99,5026932",C
66-23-91-258 O ,"ASSENTO SANITÁRIO PNE POLIESTER BRANCOINCEPA OU SIMILAR TÉCNICO, FORNECIMENTOE INSTALAÇÃO","  1,00 "," R$  480,91 "," R$  480,91 ","0,009790951093","99,51248415",C
66-23-91-258 O ,"ASSENTO SANITÁRIO PNE POLIESTER BRANCOINCEPA OU SIMILAR TÉCNICO, FORNECIMENTOE INSTALAÇÃO","  1,00 "," R$  480,91 "," R$  480,91 ","0,009790951093","99,52227511",C
62-23-68-036 O H,BUCHA COM ARRUELA EM ZAMAK P/ELETRODUTO Ø 32 MM (1 1/4),"  40,00 "," R$  12,00 "," R$  480,00 ","0,009772424205","99,53204753",C
01-13-02-296 C ,"CURVA CURTA 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89748","  10,00 "," R$  47,50 "," R$  475,00 ","0,00967062812","99,54171816",C
01-13-02-296 C ,"CURVA CURTA 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89748","  10,00 "," R$  47,50 "," R$  475,00 ","0,00967062812","99,55138879",C
01-18-02-017 C ,"PINTURA TINTA DE ACABAMENTO (PIGMENTADA) A ÓLEO EM MADEIRA, 2 DEMÃOS. AF_01/2021 CS: 102217","  20,00 "," R$  23,48 "," R$  469,60 ","0,009560688348","99,56094947",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  460,44 "," R$  460,44 ","0,009374197919","99,57032367",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  460,44 "," R$  460,44 ","0,009374197919","99,57969787",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  1,00 "," R$  460,44 "," R$  460,44 ","0,009374197919","99,58907207",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  1,00 "," R$  451,83 "," R$  451,83 ","0,00919890506","99,59827097",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  1,00 "," R$  451,83 "," R$  451,83 ","0,00919890506","99,60746988",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  1,00 "," R$  451,83 "," R$  451,83 ","0,00919890506","99,61666878",C
01-13-10-003 C ,"FURO MANUAL EM ALVENARIA, PARA INSTALAÇÕES HIDRÁULICAS, DIÂMETROS MAIORES QUE 75 MM E MENORES OU IGUAIS A 100 MM. AF_09/2023 CS: 90438","  5,00 "," R$  80,91 "," R$  404,55 ","0,008236321276","99,6249051",C
01-13-10-003 C ,"FURO MANUAL EM ALVENARIA, PARA INSTALAÇÕES HIDRÁULICAS, DIÂMETROS MAIORES QUE 75 MM E MENORES OU IGUAIS A 100 MM. AF_09/2023 CS: 90438","  5,00 "," R$  80,91 "," R$  404,55 ","0,008236321276","99,63314143",C
01-13-10-003 C ,"FURO MANUAL EM ALVENARIA, PARA INSTALAÇÕES HIDRÁULICAS, DIÂMETROS MAIORES QUE 75 MM E MENORES OU IGUAIS A 100 MM. AF_09/2023 CS: 90438","  5,00 "," R$  80,91 "," R$  404,55 ","0,008236321276","99,64137775",C
62-23-65-063 O H,"TERMINAL DE PRESSÃO PARA CABOS 4,0MM2 TIPO OLHAL","  200,00 "," R$  2,00 "," R$  400,00 ","0,008143686838","99,64952143",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  75,00 "," R$  5,26 "," R$  394,50 ","0,008031711144","99,65755315",C
63-09-01-017 U H,TÊ PARA ELETROCALHA 300X100MM - FORNECIM ENTO E INSTALAÇÃO,"  3,00 "," R$  131,23 "," R$  393,69 ","0,008015220178","99,66556837",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  2,00 "," R$  181,70 "," R$  363,40 ","0,007398539492","99,67296691",C
01-11-02-004 C H,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 40 MM (1 1/4), PARA CIRCUITOS TERMINAIS, INSTALADA EM FORRO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023 CS: 91877","  35,00 "," R$  10,31 "," R$  360,85 ","0,007346623489","99,68031353",C
01-13-02-294 C ,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89746","  10,00 "," R$  33,84 "," R$  338,40 ","0,006889559065","99,68720309",C
01-13-02-294 C ,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89746","  10,00 "," R$  33,84 "," R$  338,40 ","0,006889559065","99,69409265",C
01-13-02-293 C ,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89744","  10,00 "," R$  33,03 "," R$  330,30 ","0,006724649406","99,7008173",C
01-13-02-293 C ,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89744","  10,00 "," R$  33,03 "," R$  330,30 ","0,006724649406","99,70754195",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  45,06 "," R$  7,29 "," R$  328,49 ","0,006687746289","99,71422969",C
01-09-10-002 C ,"VERGA MOLDADA IN LOCO EM CONCRETO, ESPESSURA DE *20* CM. AF_03/2024 CS: 93187","  3,00 "," R$  101,14 "," R$  303,42 ","0,006177393651","99,72040709",C
01-09-10-002 C ,"VERGA MOLDADA IN LOCO EM CONCRETO, ESPESSURA DE *20* CM. AF_03/2024 CS: 93187","  3,00 "," R$  101,14 "," R$  303,42 ","0,006177393651","99,72658448",C
64-23-74-157 O H,"LUVA P/ ELETRODUTOS DE PVC CINZA, DIÂMETRO DE 32 MM (1)","  60,00 "," R$  4,82 "," R$  289,20 ","0,005887885584","99,73247236",C
01-13-03-164 C ,"CURVA 90 GRAUS, PVC, SOLDÁVEL, DN 40MM,INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022 CS: 103982","  10,00 "," R$  26,86 "," R$  268,60 ","0,005468485712","99,73794085",C
01-13-03-164 C ,"CURVA 90 GRAUS, PVC, SOLDÁVEL, DN 40MM,INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022 CS: 103982","  10,00 "," R$  26,86 "," R$  268,60 ","0,005468485712","99,74340934",C
01-11-02-017 C H,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 32 MM (1), PARA CIRCUITOS TERMINAIS, INSTALADA EM FORRO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023 CS: 91893","  19,00 "," R$  13,89 "," R$  263,91 ","0,005373000983","99,74878234",C
01-18-02-017 C ,"PINTURA TINTA DE ACABAMENTO (PIGMENTADA) A ÓLEO EM MADEIRA, 2 DEMÃOS. AF_01/2021 CS: 102217","  11,10 "," R$  23,48 "," R$  260,63 ","0,005306182033","99,75408852",C
01-13-06-034 C ,"TORNEIRA CROMADA 1/2 OU 3/4 PARA TANQUE, PADRÃO MÉDIO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86914","  2,00 "," R$  129,35 "," R$  258,70 ","0,005266929462","99,75935545",C
62-23-74-353 U ,LIXAMENTO DE SUPERFÍCIES DE MADEIRA EXISTE - ORSE/03963,"  20,00 "," R$  12,90 "," R$  258,00 ","0,00525267801","99,76460813",C
63-09-01-012 U H,CURVA 90º HORIZONTAL PARA ELETROCALHA 30 0X100MM - FORNECIMENTO E INSTALAÇÃO,"  4,00 "," R$  64,15 "," R$  256,60 ","0,005224175106","99,7698323",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  4,00 "," R$  62,74 "," R$  250,96 ","0,005109349122","99,77494165",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  3,00 "," R$  81,29 "," R$  243,87 ","0,004965002273","99,77990665",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  3,00 "," R$  81,29 "," R$  243,87 ","0,004965002273","99,78487166",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  3,00 "," R$  81,29 "," R$  243,87 ","0,004965002273","99,78983666",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  3,00 "," R$  81,29 "," R$  243,87 ","0,004965002273","99,79480166",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  30,00 "," R$  7,29 "," R$  218,70 ","0,004452560779","99,79925422",C
01-13-02-724 C ,"TÊ, PVC, SOLDÁVEL, DN 40 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024 CS: 94692","  10,00 "," R$  21,13 "," R$  211,30 ","0,004301902572","99,80355612",C
01-13-02-724 C ,"TÊ, PVC, SOLDÁVEL, DN 40 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024 CS: 94692","  10,00 "," R$  21,13 "," R$  211,30 ","0,004301902572","99,80785803",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  40,00 "," R$  5,26 "," R$  210,40 ","0,004283579277","99,81214161",C
01-07-01-021 C ,"FECHADURA DE EMBUTIR PARA PORTA DE BANHEIRO, COMPLETA, ACABAMENTO PADRÃO MÉDIO,INCLUSO EXECUÇÃO DE FURO - FORNECIMENTOE INSTALAÇÃO. AF_12/2019 CS: 90831","  1,00 "," R$  210,09 "," R$  210,09 ","0,004277267919","99,81641887",C
01-07-01-021 C ,"FECHADURA DE EMBUTIR PARA PORTA DE BANHEIRO, COMPLETA, ACABAMENTO PADRÃO MÉDIO,INCLUSO EXECUÇÃO DE FURO - FORNECIMENTOE INSTALAÇÃO. AF_12/2019 CS: 90831","  1,00 "," R$  210,09 "," R$  210,09 ","0,004277267919","99,82069614",C
66-23-68-083 U H,RÉGUAS DE TOMADAS COM 8 PONTOS,"  2,00 "," R$  103,94 "," R$  207,88 ","0,00423227405","99,82492841",C
01-13-03-165 C ,"CURVA 45 GRAUS, PVC, SOLDÁVEL, DN 40MM,INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022 CS: 103983","  10,00 "," R$  20,50 "," R$  205,00 ","0,004173639504","99,82910205",C
01-13-03-165 C ,"CURVA 45 GRAUS, PVC, SOLDÁVEL, DN 40MM,INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022 CS: 103983","  10,00 "," R$  20,50 "," R$  205,00 ","0,004173639504","99,83327569",C
62-23-65-091 O H,ANILHA LETRAS DIVERSAS PARA CABO UTP,"  200,00 "," R$  1,02 "," R$  204,00 ","0,004153280287","99,83742897",C
01-13-02-320 C ,"LUVA SIMPLES, PVC, SERIE NORMAL, ESGOTOPREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022CS: 89778","  10,00 "," R$  20,26 "," R$  202,60 ","0,004124777383","99,84155375",C
01-13-02-320 C ,"LUVA SIMPLES, PVC, SERIE NORMAL, ESGOTOPREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022CS: 89778","  10,00 "," R$  20,26 "," R$  202,60 ","0,004124777383","99,84567853",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  4,00 "," R$  49,70 "," R$  198,80 ","0,004047412358","99,84972594",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  37,00 "," R$  5,26 "," R$  194,62 ","0,003962310831","99,85368825",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  3,00 "," R$  62,74 "," R$  188,22 ","0,003832011842","99,85752026",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  1,00 "," R$  181,70 "," R$  181,70 ","0,003699269746","99,86121953",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  1,00 "," R$  181,70 "," R$  181,70 ","0,003699269746","99,8649188",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  1,00 "," R$  181,70 "," R$  181,70 ","0,003699269746","99,86861807",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  1,00 "," R$  181,70 "," R$  181,70 ","0,003699269746","99,87231734",C
01-13-02-324 C ,"TE, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 X 40 MM, JUNTA SOLDÁVEL, FORNECIDOE INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89782","  10,00 "," R$  18,13 "," R$  181,30 ","0,003691126059","99,87600847",C
01-13-02-324 C ,"TE, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 X 40 MM, JUNTA SOLDÁVEL, FORNECIDOE INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89782","  10,00 "," R$  18,13 "," R$  181,30 ","0,003691126059","99,8796996",C
66-23-91-017 U ,LONA PLÁSTICA PRETA ESP.= 150 MICRAS (ORSE/3642),"  22,00 "," R$  8,19 "," R$  180,18 ","0,003668323736","99,88336792",C
66-23-68-017 U H,"TOMADA PARA REDES DE INFORMÁTICA E DE TELEFONIA DO SISTEMA X, COM 2 RJ45 LCS2 CA T.6","  2,00 "," R$  85,69 "," R$  171,38 ","0,003489162626","99,88685708",C
01-13-06-030 C ,"TORNEIRA CROMADA TUBO MÓVEL, DE MESA, 1/2 OU 3/4, PARA PIA DE COZINHA, PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86909","  1,00 "," R$  170,74 "," R$  170,74 ","0,003476132727","99,89033321",C
67-23-68-044 O H,EXTENSÕES ÓPTICAS SIMPLEX SM CONECTORIZADAS LC PARA DIO,"  2,00 "," R$  79,24 "," R$  158,48 ","0,003226528725","99,89355974",C
01-13-02-277 C ,"CURVA CURTA 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89728","  10,00 "," R$  15,53 "," R$  155,30 ","0,003161786415","99,89672153",C
01-13-02-277 C ,"CURVA CURTA 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89728","  10,00 "," R$  15,53 "," R$  155,30 ","0,003161786415","99,89988332",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  20,64 "," R$  7,29 "," R$  150,47 ","0,003063361816","99,90294668",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  3,00 "," R$  49,70 "," R$  149,10 ","0,003035559269","99,90598224",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  3,00 "," R$  49,70 "," R$  149,10 ","0,003035559269","99,9090178",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  19,79 "," R$  7,29 "," R$  144,27 ","0,002937205927","99,911955",C
62-23-68-040 U H,"ETIQUETA ADESIVA COM IDENTIFICAÇÃO DE VOLTAGEM CABO DE REDE E TV, ROTEADOR, SOM, FIOS, CONECTORES E ETC","  180,00 "," R$  0,80 "," R$  144,00 ","0,002931727262","99,91488673",C
62-23-74-353 U ,LIXAMENTO DE SUPERFÍCIES DE MADEIRA EXISTE - ORSE/03963,"  11,10 "," R$  12,90 "," R$  143,19 ","0,002915236296","99,91780197",C
01-13-02-275 C ,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89726","  10,00 "," R$  12,94 "," R$  129,40 ","0,002634482692","99,92043645",C
01-13-02-275 C ,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89726","  10,00 "," R$  12,94 "," R$  129,40 ","0,002634482692","99,92307093",C
01-13-06-034 C ,"TORNEIRA CROMADA 1/2 OU 3/4 PARA TANQUE, PADRÃO MÉDIO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86914","  1,00 "," R$  129,35 "," R$  129,35 ","0,002633464731","99,9257044",C
01-13-06-034 C ,"TORNEIRA CROMADA 1/2 OU 3/4 PARA TANQUE, PADRÃO MÉDIO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86914","  1,00 "," R$  129,35 "," R$  129,35 ","0,002633464731","99,92833786",C
63-09-01-012 U H,CURVA 90º HORIZONTAL PARA ELETROCALHA 300X100MM - FORNECIMENTO E INSTALAÇÃO,"  2,00 "," R$  64,15 "," R$  128,30 ","0,002612087553","99,93094995",C
01-13-02-273 C ,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89724","  10,00 "," R$  12,73 "," R$  127,30 ","0,002591728336","99,93354168",C
01-13-02-273 C ,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89724","  10,00 "," R$  12,73 "," R$  127,30 ","0,002591728336","99,9361334",C
64-23-74-164 O H,PARAFUSO CABEÇA LENTILHA AUTO TRAV 1/4 X 1/2,"  190,00 "," R$  0,64 "," R$  121,60 ","0,002475680799","99,93860909",C
63-09-01-026 O H,REDUÇÃO CONCÊNTRICA PARA ELETROCALHA 200X100MM - 100X100MM - FORNECIMENTO E INSTALAÇÃO,"  4,00 "," R$  29,73 "," R$  118,92 ","0,002421118097","99,9410302",C
01-13-08-007 C ,"REGISTRO DE PRESSÃO BRUTO, LATÃO, ROSCÁVEL, 3/4, COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021 CS: 89985","  1,00 "," R$  114,33 "," R$  114,33 ","0,00232766929","99,94335787",C
01-13-08-007 C ,"REGISTRO DE PRESSÃO BRUTO, LATÃO, ROSCÁVEL, 3/4, COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021 CS: 89985","  1,00 "," R$  114,33 "," R$  114,33 ","0,00232766929","99,94568554",C
01-13-08-007 C ,"REGISTRO DE PRESSÃO BRUTO, LATÃO, ROSCÁVEL, 3/4, COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021 CS: 89985","  1,00 "," R$  114,33 "," R$  114,33 ","0,00232766929","99,94801321",C
01-13-02-299 C ,"LUVA SIMPLES, PVC, SERIE NORMAL, ESGOTOPREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89752","  10,00 "," R$  9,31 "," R$  93,10 ","0,001895443111","99,94990865",C
01-13-02-299 C ,"LUVA SIMPLES, PVC, SERIE NORMAL, ESGOTOPREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89752","  10,00 "," R$  9,31 "," R$  93,10 ","0,001895443111","99,9518041",C
01-13-02-105 C ,"JOELHO 45 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89516","  10,00 "," R$  9,16 "," R$  91,60 ","0,001864904286","99,953669",C
01-13-02-105 C ,"JOELHO 45 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89516","  10,00 "," R$  9,16 "," R$  91,60 ","0,001864904286","99,95553391",C
