,,,,,,,
,,,,,,,
CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,PARCELA DO ITEM,PERCENTUAL_INDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
"02-01-01-010 O H
88264",ADICIONAL DE HORA EXTRA AOS DOMINGOS E FERIADOS DE 110% - ELETRICISTA COM ENCARGOS COMPLEMENTARES  CS:88264,"  1.240,00 "," R$  28,77 "," R$  35.674,80 ","0,726310998","76,55567318",A
63-20-03-004 O H,"QGBT-SAC, CONFORME DIAGRAMA UNIFILAR EM
PROJETO","  2,00 "," R$  16.377,72 "," R$  32.755,44 ","0,666875114","77,22254829",A
63-20-09-009 O ,"RETIRADA E RECOLOCAÇÃO DE BRISE EM FIBRA DE VIDRO EXISTENTE C/ 100% DE REAPROV.INCL. FIXAÇÃO C/ DESENVOLV. 70X660CM, NOVOS PARAFUSOS DE AÇO INOX, EXCL. O CINTO SEGURANÇA, EXCLUS. ANDAIME","  650,00 ","  47,66 "," R$  30.979,00 ","0,6307081864","77,85325648",A
66-23-91-292 U H,"CABO ALARME DE INCÒNDIO BLINDADO 2X1,5MM COM SHIELD - FORNECIMENTO E INSTALA€ÇO","  2.200,00 "," R$  13,67 "," R$  30.074,00 ","0,6122830949","78,46553958",A
62-23-74-180 U H,DETECTOR DE FUMA€A àPTICO ENDERE€µVEL - FORNECIMENTO E INSTALA€ÇO,"  130,00 "," R$  230,06 "," R$  29.907,80 ","0,608899393","79,07443897",A
66-23-91-062 U ,"TRANSPORTE VERTICAL MANUAL DE MATERIAISA GRANEL, COM CARRINHO OU GERICA, DO TÉRREO ATÉ A 5A. LAJE","  100,00 "," R$  294,73 "," R$  29.473,00 ","0,6000472054","79,67448617",A
64-23-74-099 O H,CANALETA DE PVC 110X20MM SISTEMA X,"  420,00 "," R$  69,73 "," R$  29.286,60 ","0,5962522474","80,27073842",B
"02-01-01-025 O H
90776",ADICIONAL DE HORA EXTRA AOS SÁBADOS 70% - ENCARREGADO COM ENCARGOS ECOMPLEMENTARES  CS:90776,"  1.240,00 "," R$  21,76 "," R$  26.982,40 ","0,5493405393","80,82007896",B
"02-01-01-002 O H
88243",ADICIONAL DE HORA EXTRA AOS DOMINGOS E FERIADOS DE 110% - AJUDANTE ESPECIALIZADO COM COMPLEMENTARES  CS:88243,"  1.240,00 "," R$  21,66 "," R$  26.858,40 ","0,5468159964","81,36689496",B
64-23-21-687 O ,"PORTA SEMI-OCA PARA DIVISÓRIA, 0,80X2,10M, COM LAMINADO TEXTURIZADO DA COR AREIAJUNDIAÍ E PERFIL EM AÇO GALVANIZADO PIN-TADO NA COR BRANCA - FORNECIMENTO E INSTALAÇÃO","  25,00 "," R$  991,64 "," R$  24.791,00 ","0,504725351","81,87162031",B
01-26-01-096 O H,"ENGENHEIRO ELETRICISTA COM ENCARGOS COMPLEMENTARES INCC:1,06619","  240,00 "," R$  98,31 "," R$  23.594,40 ","0,4803635118","82,35198382",B
66-23-68-106 O H,"PERFILADO LISO EM CHAPA DE AÇO, COM TAMPA,DIMENSÕES 38 X 38 MM","  375,00 "," R$  61,88 "," R$  23.205,00 ","0,4724356327","82,82441945",B
