CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,VALOR TOTAL (R$),PERCENTUAL_IDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
63-21-03-012 O H,ADAPTADOR CONDULETE TOP 1 P/ CONDULETE CINZA - FORNECIMENTO E INSTALAÇÃO,"  120,00 ","R$ 4,45","R$ 534,00","0,01354641465","123,9171515",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  100,00 ","R$ 5,26","R$ 526,00","0,01334347211","123,930495",C
01-13-02-338 C ,"TE, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 X 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS:89796","  10,00 ","R$ 50,75","R$ 507,50","0,01287416748","123,9433692",C
01-13-02-338 C ,"TE, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 X 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS:89796","  10,00 ","R$ 50,75","R$ 507,50","0,01287416748","123,9562433",C
67-23-68-042 O H,PARES TRANSCEIVER GBIC LC 3KM MÓDULO SFP BIDIRECIONAL WDM 1550/1310 SMF,"  3,00 ","R$ 166,48","R$ 499,44","0,01266970287","123,968913",C
64-23-74-159 O H,"SAÍDA HORIZONTAL PARA ELETRODUTO 1, INCLUINDO PARAFUSO, BUCHA E ARRUELA - FORNECIMENTO E INSTALAÇÃO","  50,00 ","R$ 9,92","R$ 496,00","0,01258243758","123,9814955",C
66-23-91-258 O ,"ASSENTO SANITÁRIO PNE POLIESTER BRANCOINCEPA OU SIMILAR TÉCNICO, FORNECIMENTOE INSTALAÇÃO","  1,00 ","R$ 480,91","R$ 480,91","0,01219963721","123,9936951",C
66-23-91-258 O ,"ASSENTO SANITÁRIO PNE POLIESTER BRANCOINCEPA OU SIMILAR TÉCNICO, FORNECIMENTOE INSTALAÇÃO","  1,00 ","R$ 480,91","R$ 480,91","0,01219963721","124,0058947",C
62-23-68-036 O H,BUCHA COM ARRUELA EM ZAMAK P/ELETRODUTO Ø 32 MM (1 1/4),"  40,00 ","R$ 12,00","R$ 480,00","0,0121765525","124,0180713",C
01-13-02-296 C ,"CURVA CURTA 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89748","  10,00 ","R$ 47,50","R$ 475,00","0,01204971341","124,030121",C
01-13-02-296 C ,"CURVA CURTA 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89748","  10,00 ","R$ 47,50","R$ 475,00","0,01204971341","124,0421707",C
01-18-02-017 C ,"PINTURA TINTA DE ACABAMENTO (PIGMENTADA) A ÓLEO EM MADEIRA, 2 DEMÃOS. AF_01/2021 CS: 102217","  20,00 ","R$ 23,48","R$ 469,60","0,01191272719","124,0540834",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 460,44","R$ 460,44","0,01168035798","124,0657638",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 460,44","R$ 460,44","0,01168035798","124,0774442",C
63-21-11-123 O ,"SABONETEIRA EM AÇO INOXIDÁVEL PARA SABONETE LÍQUIDO A GRANEL, FIXADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO","  1,00 ","R$ 460,44","R$ 460,44","0,01168035798","124,0891245",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  1,00 ","R$ 451,83","R$ 451,83","0,01146194107","124,1005865",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  1,00 ","R$ 451,83","R$ 451,83","0,01146194107","124,1120484",C
01-13-06-080 C ,"TORNEIRA CROMADA DE MESA PARA LAVATORIO, TIPO MONOCOMANDO. AF_01/2020 CS: 100853","  1,00 ","R$ 451,83","R$ 451,83","0,01146194107","124,1235103",C
01-13-10-003 C ,"FURO MANUAL EM ALVENARIA, PARA INSTALAÇÕES HIDRÁULICAS, DIÂMETROS MAIORES QUE 75 MM E MENORES OU IGUAIS A 100 MM. AF_09/2023 CS: 90438","  5,00 ","R$ 80,91","R$ 404,55","0,01026255065","124,1337729",C
01-13-10-003 C ,"FURO MANUAL EM ALVENARIA, PARA INSTALAÇÕES HIDRÁULICAS, DIÂMETROS MAIORES QUE 75 MM E MENORES OU IGUAIS A 100 MM. AF_09/2023 CS: 90438","  5,00 ","R$ 80,91","R$ 404,55","0,01026255065","124,1440354",C
01-13-10-003 C ,"FURO MANUAL EM ALVENARIA, PARA INSTALAÇÕES HIDRÁULICAS, DIÂMETROS MAIORES QUE 75 MM E MENORES OU IGUAIS A 100 MM. AF_09/2023 CS: 90438","  5,00 ","R$ 80,91","R$ 404,55","0,01026255065","124,154298",C
62-23-65-063 O H,"TERMINAL DE PRESSÃO PARA CABOS 4,0MM2 TIPO OLHAL","  200,00 ","R$ 2,00","R$ 400,00","0,01014712708","124,1644451",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  75,00 ","R$ 5,26","R$ 394,50","0,01000760408","124,1744527",C
63-09-01-017 U H,TÊ PARA ELETROCALHA 300X100MM - FORNECIM ENTO E INSTALAÇÃO,"  3,00 ","R$ 131,23","R$ 393,69","0,00998705615","124,1844398",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  2,00 ","R$ 181,70","R$ 363,40","0,009218664952","124,1936584",C
01-11-02-004 C H,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 40 MM (1 1/4), PARA CIRCUITOS TERMINAIS, INSTALADA EM FORRO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023 CS: 91877","  35,00 ","R$ 10,31","R$ 360,85","0,009153977017","124,2028124",C
01-13-02-294 C ,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89746","  10,00 ","R$ 33,84","R$ 338,40","0,008584469509","124,2113969",C
01-13-02-294 C ,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89746","  10,00 ","R$ 33,84","R$ 338,40","0,008584469509","124,2199814",C
01-13-02-293 C ,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89744","  10,00 ","R$ 33,03","R$ 330,30","0,008378990186","124,2283603",C
01-13-02-293 C ,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89744","  10,00 ","R$ 33,03","R$ 330,30","0,008378990186","124,2367393",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  45,06 ","R$ 7,29","R$ 328,49","0,00833300848","124,2450723",C
01-09-10-002 C ,"VERGA MOLDADA IN LOCO EM CONCRETO, ESPESSURA DE *20* CM. AF_03/2024 CS: 93187","  3,00 ","R$ 101,14","R$ 303,42","0,007697103246","124,2527695",C
01-09-10-002 C ,"VERGA MOLDADA IN LOCO EM CONCRETO, ESPESSURA DE *20* CM. AF_03/2024 CS: 93187","  3,00 ","R$ 101,14","R$ 303,42","0,007697103246","124,2604666",C
64-23-74-157 O H,"LUVA P/ ELETRODUTOS DE PVC CINZA, DIÂMETRO DE 32 MM (1)","  60,00 ","R$ 4,82","R$ 289,20","0,007336372879","124,2678029",C
01-13-03-164 C ,"CURVA 90 GRAUS, PVC, SOLDÁVEL, DN 40MM,INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022 CS: 103982","  10,00 ","R$ 26,86","R$ 268,60","0,006813795834","124,2746167",C
01-13-03-164 C ,"CURVA 90 GRAUS, PVC, SOLDÁVEL, DN 40MM,INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022 CS: 103982","  10,00 ","R$ 26,86","R$ 268,60","0,006813795834","124,2814305",C
01-11-02-017 C H,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 32 MM (1), PARA CIRCUITOS TERMINAIS, INSTALADA EM FORRO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023 CS: 91893","  19,00 ","R$ 13,89","R$ 263,91","0,006694820769","124,2881253",C
01-18-02-017 C ,"PINTURA TINTA DE ACABAMENTO (PIGMENTADA) A ÓLEO EM MADEIRA, 2 DEMÃOS. AF_01/2021 CS: 102217","  11,10 ","R$ 23,48","R$ 260,63","0,006611563591","124,2947369",C
01-13-06-034 C ,"TORNEIRA CROMADA 1/2 OU 3/4 PARA TANQUE, PADRÃO MÉDIO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86914","  2,00 ","R$ 129,35","R$ 258,70","0,006562654439","124,3012996",C
62-23-74-353 U ,LIXAMENTO DE SUPERFÍCIES DE MADEIRA EXISTE - ORSE/03963,"  20,00 ","R$ 12,90","R$ 258,00","0,006544896966","124,3078445",C
63-09-01-012 U H,CURVA 90º HORIZONTAL PARA ELETROCALHA 30 0X100MM - FORNECIMENTO E INSTALAÇÃO,"  4,00 ","R$ 64,15","R$ 256,60","0,006509382022","124,3143538",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  4,00 ","R$ 62,74","R$ 250,96","0,00636630753","124,3207201",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  3,00 ","R$ 81,29","R$ 243,87","0,006186449702","124,3269066",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  3,00 ","R$ 81,29","R$ 243,87","0,006186449702","124,333093",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  3,00 ","R$ 81,29","R$ 243,87","0,006186449702","124,3392795",C
62-23-74-047 O ,PAPELEIRA DE SOBREPOR EM POLIESTIRENO PARA PAPEL INTERFOLHADO - FORNECIMENTO E INSTALAÇÃO,"  3,00 ","R$ 81,29","R$ 243,87","0,006186449702","124,3454659",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  30,00 ","R$ 7,29","R$ 218,70","0,005547941731","124,3510139",C
01-13-02-724 C ,"TÊ, PVC, SOLDÁVEL, DN 40 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024 CS: 94692","  10,00 ","R$ 21,13","R$ 211,30","0,00536021988","124,3563741",C
01-13-02-724 C ,"TÊ, PVC, SOLDÁVEL, DN 40 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024 CS: 94692","  10,00 ","R$ 21,13","R$ 211,30","0,00536021988","124,3617343",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  40,00 ","R$ 5,26","R$ 210,40","0,005337388844","124,3670717",C
01-07-01-021 C ,"FECHADURA DE EMBUTIR PARA PORTA DE BANHEIRO, COMPLETA, ACABAMENTO PADRÃO MÉDIO,INCLUSO EXECUÇÃO DE FURO - FORNECIMENTOE INSTALAÇÃO. AF_12/2019 CS: 90831","  1,00 ","R$ 210,09","R$ 210,09","0,00532952482","124,3724012",C
01-07-01-021 C ,"FECHADURA DE EMBUTIR PARA PORTA DE BANHEIRO, COMPLETA, ACABAMENTO PADRÃO MÉDIO,INCLUSO EXECUÇÃO DE FURO - FORNECIMENTOE INSTALAÇÃO. AF_12/2019 CS: 90831","  1,00 ","R$ 210,09","R$ 210,09","0,00532952482","124,3777308",C
66-23-68-083 U H,RÉGUAS DE TOMADAS COM 8 PONTOS,"  2,00 ","R$ 103,94","R$ 207,88","0,005273461943","124,3830042",C
01-13-03-165 C ,"CURVA 45 GRAUS, PVC, SOLDÁVEL, DN 40MM,INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022 CS: 103983","  10,00 ","R$ 20,50","R$ 205,00","0,005200402628","124,3882046",C
01-13-03-165 C ,"CURVA 45 GRAUS, PVC, SOLDÁVEL, DN 40MM,INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022 CS: 103983","  10,00 ","R$ 20,50","R$ 205,00","0,005200402628","124,393405",C
62-23-65-091 O H,ANILHA LETRAS DIVERSAS PARA CABO UTP,"  200,00 ","R$ 1,02","R$ 204,00","0,005175034811","124,3985801",C
01-13-02-320 C ,"LUVA SIMPLES, PVC, SERIE NORMAL, ESGOTOPREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022CS: 89778","  10,00 ","R$ 20,26","R$ 202,60","0,005139519866","124,4037196",C
01-13-02-320 C ,"LUVA SIMPLES, PVC, SERIE NORMAL, ESGOTOPREDIAL, DN 100 MM, JUNTA ELÁSTICA, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022CS: 89778","  10,00 ","R$ 20,26","R$ 202,60","0,005139519866","124,4088591",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  4,00 ","R$ 49,70","R$ 198,80","0,005043122159","124,4139022",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  37,00 ","R$ 5,26","R$ 194,62","0,004937084681","124,4188393",C
66-23-91-261 U ,VÁLVULA PARA LAVATÓRIO C-1602 CR DECA OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO,"  3,00 ","R$ 62,74","R$ 188,22","0,004774730647","124,423614",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  1,00 ","R$ 181,70","R$ 181,70","0,004609332476","124,4282234",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  1,00 ","R$ 181,70","R$ 181,70","0,004609332476","124,4328327",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  1,00 ","R$ 181,70","R$ 181,70","0,004609332476","124,437442",C
01-13-06-009 C ,SIFÃO DO TIPO GARRAFA EM METAL CROMADO 1 X 1.1/2 - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86881,"  1,00 ","R$ 181,70","R$ 181,70","0,004609332476","124,4420514",C
01-13-02-324 C ,"TE, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 X 40 MM, JUNTA SOLDÁVEL, FORNECIDOE INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89782","  10,00 ","R$ 18,13","R$ 181,30","0,004599185349","124,4466506",C
01-13-02-324 C ,"TE, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 X 40 MM, JUNTA SOLDÁVEL, FORNECIDOE INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89782","  10,00 ","R$ 18,13","R$ 181,30","0,004599185349","124,4512497",C
66-23-91-017 U ,LONA PLÁSTICA PRETA ESP.= 150 MICRAS (ORSE/3642),"  22,00 ","R$ 8,19","R$ 180,18","0,004570773393","124,4558205",C
66-23-68-017 U H,"TOMADA PARA REDES DE INFORMÁTICA E DE TELEFONIA DO SISTEMA X, COM 2 RJ45 LCS2 CA T.6","  2,00 ","R$ 85,69","R$ 171,38","0,004347536597","124,4601681",C
01-13-06-030 C ,"TORNEIRA CROMADA TUBO MÓVEL, DE MESA, 1/2 OU 3/4, PARA PIA DE COZINHA, PADRÃO ALTO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86909","  1,00 ","R$ 170,74","R$ 170,74","0,004331301194","124,4644994",C
67-23-68-044 O H,EXTENSÕES ÓPTICAS SIMPLEX SM CONECTORIZADAS LC PARA DIO,"  2,00 ","R$ 79,24","R$ 158,48","0,004020291749","124,4685196",C
01-13-02-277 C ,"CURVA CURTA 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89728","  10,00 ","R$ 15,53","R$ 155,30","0,003939622089","124,4724593",C
01-13-02-277 C ,"CURVA CURTA 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89728","  10,00 ","R$ 15,53","R$ 155,30","0,003939622089","124,4763989",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  20,64 ","R$ 7,29","R$ 150,47","0,003816983911","124,4802159",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  3,00 ","R$ 49,70","R$ 149,10","0,003782341619","124,4839982",C
01-13-06-015 C ,"ENGATE FLEXÍVEL EM INOX, 1/2  X 40CM - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86887","  3,00 ","R$ 49,70","R$ 149,10","0,003782341619","124,4877806",C
01-21-03-003 C ,LIMPEZA DE PISO CERÂMICO OU PORCELANATOUTILIZANDO DETERGENTE NEUTRO E ESCOVAÇÃO MANUAL. AF_04/2019 CS: 99804,"  19,79 ","R$ 7,29","R$ 144,27","0,003659792228","124,4914403",C
62-23-68-040 U H,"ETIQUETA ADESIVA COM IDENTIFICAÇÃO DE VOLTAGEM CABO DE REDE E TV, ROTEADOR, SOM, FIOS, CONECTORES E ETC","  180,00 ","R$ 0,80","R$ 144,00","0,003652965749","124,4950933",C
62-23-74-353 U ,LIXAMENTO DE SUPERFÍCIES DE MADEIRA EXISTE - ORSE/03963,"  11,10 ","R$ 12,90","R$ 143,19","0,003632417816","124,4987257",C
01-13-02-275 C ,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89726","  10,00 ","R$ 12,94","R$ 129,40","0,00328259561","124,5020083",C
01-13-02-275 C ,"JOELHO 45 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89726","  10,00 ","R$ 12,94","R$ 129,40","0,00328259561","124,5052909",C
01-13-06-034 C ,"TORNEIRA CROMADA 1/2 OU 3/4 PARA TANQUE, PADRÃO MÉDIO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86914","  1,00 ","R$ 129,35","R$ 129,35","0,003281327219","124,5085723",C
01-13-06-034 C ,"TORNEIRA CROMADA 1/2 OU 3/4 PARA TANQUE, PADRÃO MÉDIO - FORNECIMENTO E INSTALAÇÃO. AF_01/2020 CS: 86914","  1,00 ","R$ 129,35","R$ 129,35","0,003281327219","124,5118536",C
63-09-01-012 U H,CURVA 90º HORIZONTAL PARA ELETROCALHA 300X100MM - FORNECIMENTO E INSTALAÇÃO,"  2,00 ","R$ 64,15","R$ 128,30","0,003254691011","124,5151083",C
01-13-02-273 C ,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89724","  10,00 ","R$ 12,73","R$ 127,30","0,003229323193","124,5183376",C
01-13-02-273 C ,"JOELHO 90 GRAUS, PVC, SERIE NORMAL, ESGOTO PREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89724","  10,00 ","R$ 12,73","R$ 127,30","0,003229323193","124,5215669",C
64-23-74-164 O H,PARAFUSO CABEÇA LENTILHA AUTO TRAV 1/4 X 1/2,"  190,00 ","R$ 0,64","R$ 121,60","0,003084726632","124,5246516",C
63-09-01-026 O H,REDUÇÃO CONCÊNTRICA PARA ELETROCALHA 200X100MM - 100X100MM - FORNECIMENTO E INSTALAÇÃO,"  4,00 ","R$ 29,73","R$ 118,92","0,003016740881","124,5276684",C
01-13-08-007 C ,"REGISTRO DE PRESSÃO BRUTO, LATÃO, ROSCÁVEL, 3/4, COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021 CS: 89985","  1,00 ","R$ 114,33","R$ 114,33","0,002900302598","124,5305687",C
01-13-08-007 C ,"REGISTRO DE PRESSÃO BRUTO, LATÃO, ROSCÁVEL, 3/4, COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021 CS: 89985","  1,00 ","R$ 114,33","R$ 114,33","0,002900302598","124,533469",C
01-13-08-007 C ,"REGISTRO DE PRESSÃO BRUTO, LATÃO, ROSCÁVEL, 3/4, COM ACABAMENTO E CANOPLA CROMADOS - FORNECIMENTO E INSTALAÇÃO. AF_08/2021 CS: 89985","  1,00 ","R$ 114,33","R$ 114,33","0,002900302598","124,5363693",C
01-13-02-299 C ,"LUVA SIMPLES, PVC, SERIE NORMAL, ESGOTOPREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89752","  10,00 ","R$ 9,31","R$ 93,10","0,002361743828","124,538731",C
01-13-02-299 C ,"LUVA SIMPLES, PVC, SERIE NORMAL, ESGOTOPREDIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE DESCARGA OU RAMAL DE ESGOTO SANITÁRIO. AF_08/2022 CS: 89752","  10,00 ","R$ 9,31","R$ 93,10","0,002361743828","124,5410928",C
01-13-02-105 C ,"JOELHO 45 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89516","  10,00 ","R$ 9,16","R$ 91,60","0,002323692101","124,5434165",C
01-13-02-105 C ,"JOELHO 45 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89516","  10,00 ","R$ 9,16","R$ 91,60","0,002323692101","124,5457402",C
01-13-02-103 C ,"JOELHO 90 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89514","  10,00 ","R$ 9,08","R$ 90,80","0,002303397847","124,5480436",C
01-13-02-103 C ,"JOELHO 90 GRAUS, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO E INSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89514","  10,00 ","R$ 9,08","R$ 90,80","0,002303397847","124,550347",C
01-13-02-127 C ,"LUVA SIMPLES, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO EINSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89544","  10,00 ","R$ 8,93","R$ 89,30","0,002265346121","124,5526123",C
01-13-02-127 C ,"LUVA SIMPLES, PVC, SERIE R, ÁGUA PLUVIAL, DN 40 MM, JUNTA SOLDÁVEL, FORNECIDO EINSTALADO EM RAMAL DE ENCAMINHAMENTO. AF_06/2022 CS: 89544","  10,00 ","R$ 8,93","R$ 89,30","0,002265346121","124,5548777",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  16,95 ","R$ 5,26","R$ 89,16","0,002261718523","124,5571394",C
01-21-03-007 C ,LIMPEZA DE REVESTIMENTO CERÂMICO EM PAREDE UTILIZANDO ÁCIDO MURIÁTICO. AF_04/2019 CS: 99808,"  16,00 ","R$ 5,26","R$ 84,16","0,002134955538","124,5592743",C
