CÓDIGO,DESCRIÇÃO,QTDE.,VALOR UNITARIO (R$) ,VALOR TOTAL (R$),PERCENTUAL_IDIVIDUAL,PERCENTUAL_ACUMULADO,CLASSE
62-23-74-180 U H,DETECTOR DE FUMA€A àPTICO ENDERE€µVEL - FORNECIMENTO E INSTALACAO,"  130,00 ","R$ 230,06","R$ 29.907,80","0,7586956182","98,52765669",A
66-23-91-062 U ,"TRANSPORTE VERTICAL MANUAL DE MATERIAISA GRANEL, COM CARRINHO OU GERICA, DO TÉRREO ATÉ A 5A. LAJE","  100,00 ","R$ 294,73","R$ 29.473,00","0,747665691","99,27532238",A
64-23-74-099 O H,CANALETA DE PVC 110X20MM SISTEMA X,"  420,00 ","R$ 69,73","R$ 29.286,60","0,7429371298","100,0182595",A
"02-01-01-025 O H
90776",ADICIONAL DE HORA EXTRA AOS SÁBADOS 70% - ENCARREGADO COM ENCARGOS ECOMPLEMENTARES  CS:90776,"  1.240,00 ","R$ 21,76","R$ 26.982,40","0,6844846043","100,7027441",A
"02-01-01-002 O H
88243",ADICIONAL DE HORA EXTRA AOS DOMINGOS E FERIADOS DE 110% - AJUDANTE ESPECIALIZADO COM COMPLEMENTARES  CS:88243,"  1.240,00 ","R$ 21,66","R$ 26.858,40","0,6813389949","101,3840831",A
64-23-21-687 O ,"PORTA SEMI-OCA PARA DIVISÓRIA, 0,80X2,10M, COM LAMINADO TEXTURIZADO DA COR AREIAJUNDIAÍ E PERFIL EM AÇO GALVANIZADO PIN-TADO NA COR BRANCA - FORNECIMENTO E INSTALAÇÃO","  25,00 ","R$ 991,64","R$ 24.791,00","0,6288935686","102,0129767",A
01-26-01-096 O H,"ENGENHEIRO ELETRICISTA COM ENCARGOS COMPLEMENTARES INCC:1,06619","  240,00 ","R$ 98,31","R$ 23.594,40","0,5985384379","102,6115151",A
66-23-68-106 O H,"PERFILADO LISO EM CHAPA DE AÇO, COM TAMPA,DIMENSÕES 38 X 38 MM","  375,00 ","R$ 61,88","R$ 23.205,00","0,5886602097","103,2001753",A
66-23-91-308 U H,"ACIONADOR MANUAL ANALàGICO, ENDERE€µVEL SEM ISOLADOR DE CURTO CIRCUITO, MOD. APOLLO, MARCA GLOBAL FIRE - FORNECIMENTO E INSTALACAO (ORSE 12016)","  22,00 ","R$ 966,32","R$ 21.259,04","0,5392954512","103,7394708",A
63-09-01-002 U H,ELETROCALHA PERFURADA EM AÇO GALVANIZADO 200X100X3000MM COM TAMPA - FORNECIMENTO E INSTALAÇÃO,"  150,00 ","R$ 140,80","R$ 21.120,00","0,5357683098","104,2752391",A
62-23-74-330 U ,"DIVISÓRIA GRANITO CINZA ANDORINHA E=3,0CM,ASSENTADO COM ARGAMASSA TRAÇO 1:4(CIMENTO E AREIA)ARREMATE COM CIMENTO E PERFIL EM AÇO INOX TIPO CANTONEIRA","  20,00 ","R$ 1.047,39","R$ 20.947,80","0,5313999716","104,8066391",A
62-23-74-187 U H,"TUBULACAO FRIGORÖGENA DE INTERLIGACAO P/SPLIT 36.000 BTUïS/H, COM TUBO DE COBRE E CABO PP 4X2,5MM, FITA ISOLANTE TRMICA ALUMINIZADA, ABRA€ADEIRA DE  NYLON E GALVANIZADA COM MÇO-DE-OBRA PARA 20,0M","  8,00 ","R$ 2.512,08","R$ 20.096,64","0,5098078999","105,316447",A
63-21-09-009 O ,BOMBA DE DRENO PARA AR CONDICIONADO SPLIT DE ATÉ 30.000 BTU - FORNECIMENTO E INSTALAÇÃO,"  27,00 ","R$ 735,08","R$ 19.847,28","0,5034822874","105,8199292",A
62-23-74-330 U ,"DIVISÓRIA GRANITO CINZA ANDORINHA E=3,0CM,ASSENTADO COM ARGAMASSA TRAÇO 1:4(CIMENTO E AREIA)ARREMATE COM CIMENTO E PERFIL EM AÇO INOX TIPO CANTONEIRA","  18,00 ","R$ 1.047,39","R$ 18.853,02","0,4782599744","106,2981892",B
01-15-06-003 C ,"TRANSPORTE COM CAMINHÃO BASCULANTE DE 6M³, EM VIA URBANA PAVIMENTADA, DMT ATÉ 30 KM (UNIDADE: TXKM). AF_07/2020 CS: 97918","  7.500,00 ","R$ 2,40","R$ 18.000,00","0,4566207186","106,7548099",B
01-16-01-017 C ,ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 9X9X19 CM (ESPESSURA 9 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021 CS: 103351,"  75,00 ","R$ 237,41","R$ 17.805,75","0,45169302","107,206503",B
"02-01-01-018 O H
88243",ADICIONAL DE HORA EXTRA AOS SÁBADOS 70% - AJUDANTE ESPECIALIZADO COM ENCARGOS COMPLEMENTARESCS:88243,"  1.240,00 ","R$ 13,79","R$ 17.099,60","0,4337795355","107,6402825",B
62-23-74-288 U ,LIXAMENTO MANUAL COM LIXA EM PINTURA EXISTENTE,"  2.500,00 ","R$ 6,80","R$ 17.000,00","0,4312529009","108,0715354",B
01-11-03-008 C H 91931,"CABO DE COBRE FLEXÖVEL ISOLADO, 6 MMý, ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALACAO. AF_03/2023 CS: 91931","  2.000,00 ","R$ 8,38","R$ 16.760,00","0,4251646246","108,4967",B
01-12-01-004 C H 101907,"EXTINTOR DE INCÒNDIO PORTµTIL COM CARGA DE CO2 DE 6 KG, CLASSE BC - FORNECIMENTO E INSTALACAO. AF_10/2020_PE CS: 101907","  24,00 ","R$ 690,60","R$ 16.574,40","0,4204563577","108,9171564",B
64-23-74-184 O H,"ELETRODUTO DE PVC COM CONEXÕES, 3/4``COR BRANCA - FORNECIMENTO E INSTALAÇÃO","  850,00 ","R$ 18,72","R$ 15.912,00","0,4036527152","109,3208091",B
63-20-11-004 O ,PINTURA ACRÍLICA SEMI-BRILHO SUVINIL NACOR BRANCO NEVE,"  360,00 ","R$ 43,28","R$ 15.580,80","0,395250894","109,71606",B
64-23-74-099 O H,CANALETA DE PVC 110X20MM SISTEMA X,"  220,00 ","R$ 69,73","R$ 15.340,60","0,3891575442","110,1052175",B
